row_id,service,service_slug,keyword_group,keyword_slug,location,location_slug,market_scope,page_type,template_type,target_keyword,suggested_slug,parent_page_slug,priority,notes
1,Financial Reporting,financial-reporting,Financial Reporting,financial-reporting,London,london,city,core-service,service-page,Financial Reporting London,financial-reporting-london,financial-reporting-london,P1,Location-specific target page
2,Financial Reporting,financial-reporting,Financial Reporting,financial-reporting,South East London,south-east-london,district,core-service,service-page,Financial Reporting South East London,financial-reporting-south-east-london,financial-reporting-south-east-london,P3,Location-specific target page
3,Financial Reporting,financial-reporting,Financial Reporting,financial-reporting,East London,east-london,district,core-service,service-page,Financial Reporting East London,financial-reporting-east-london,financial-reporting-east-london,P3,Location-specific target page
4,Financial Reporting,financial-reporting,Financial Reporting,financial-reporting,Manchester,manchester,city,core-service,service-page,Financial Reporting Manchester,financial-reporting-manchester,financial-reporting-manchester,P2,Location-specific target page
5,Financial Reporting,financial-reporting,Financial Reporting,financial-reporting,City of London,city-of-london,district,core-service,service-page,Financial Reporting City of London,financial-reporting-city-of-london,financial-reporting-city-of-london,P2,Location-specific target page
6,Financial Reporting,financial-reporting,Financial Reporting,financial-reporting,Westminster,westminster,district,core-service,service-page,Financial Reporting Westminster,financial-reporting-westminster,financial-reporting-westminster,P2,Location-specific target page
7,Financial Reporting,financial-reporting,Financial Reporting,financial-reporting,Southwark,southwark,district,core-service,service-page,Financial Reporting Southwark,financial-reporting-southwark,financial-reporting-southwark,P2,Location-specific target page
8,Financial Reporting,financial-reporting,Financial Reporting,financial-reporting,London Bridge,london-bridge,district,core-service,service-page,Financial Reporting London Bridge,financial-reporting-london-bridge,financial-reporting-london-bridge,P2,Location-specific target page
9,Financial Reporting,financial-reporting,Financial Reporting,financial-reporting,King's Cross,kings-cross,district,core-service,service-page,Financial Reporting King's Cross,financial-reporting-kings-cross,financial-reporting-kings-cross,P3,Location-specific target page
10,Financial Reporting,financial-reporting,Financial Reporting,financial-reporting,Farringdon,farringdon,district,core-service,service-page,Financial Reporting Farringdon,financial-reporting-farringdon,financial-reporting-farringdon,P3,Location-specific target page
11,Financial Reporting,financial-reporting,Finance Performance,finance-performance,London,london,city,adjacent-service,service-page,Finance Performance London,finance-performance-london,financial-reporting-london,P1,Location-specific target page
12,Financial Reporting,financial-reporting,Finance Performance,finance-performance,South East London,south-east-london,district,adjacent-service,service-page,Finance Performance South East London,finance-performance-south-east-london,financial-reporting-south-east-london,P3,Location-specific target page
13,Financial Reporting,financial-reporting,Finance Performance,finance-performance,East London,east-london,district,adjacent-service,service-page,Finance Performance East London,finance-performance-east-london,financial-reporting-east-london,P3,Location-specific target page
14,Financial Reporting,financial-reporting,Finance Performance,finance-performance,Manchester,manchester,city,adjacent-service,service-page,Finance Performance Manchester,finance-performance-manchester,financial-reporting-manchester,P2,Location-specific target page
15,Financial Reporting,financial-reporting,Finance Performance,finance-performance,City of London,city-of-london,district,adjacent-service,service-page,Finance Performance City of London,finance-performance-city-of-london,financial-reporting-city-of-london,P3,Location-specific target page
16,Financial Reporting,financial-reporting,Finance Performance,finance-performance,Westminster,westminster,district,adjacent-service,service-page,Finance Performance Westminster,finance-performance-westminster,financial-reporting-westminster,P3,Location-specific target page
17,Financial Reporting,financial-reporting,Finance Performance,finance-performance,Southwark,southwark,district,adjacent-service,service-page,Finance Performance Southwark,finance-performance-southwark,financial-reporting-southwark,P3,Location-specific target page
18,Financial Reporting,financial-reporting,Finance Performance,finance-performance,London Bridge,london-bridge,district,adjacent-service,service-page,Finance Performance London Bridge,finance-performance-london-bridge,financial-reporting-london-bridge,P3,Location-specific target page
19,Financial Reporting,financial-reporting,Finance Performance,finance-performance,King's Cross,kings-cross,district,adjacent-service,service-page,Finance Performance King's Cross,finance-performance-kings-cross,financial-reporting-kings-cross,P3,Location-specific target page
20,Financial Reporting,financial-reporting,Finance Performance,finance-performance,Farringdon,farringdon,district,adjacent-service,service-page,Finance Performance Farringdon,finance-performance-farringdon,financial-reporting-farringdon,P3,Location-specific target page
